id,"name","odptrailway","created_at","updated_at"
1,"東葉高速線","odpt.Railway:ToyoRapid.ToyoRapid","2019-11-30 14:04:24","2019-11-30 14:04:24"
2,"埼玉高速鉄道線","odpt.Railway:SaitamaRailway.SaitamaRailway","2019-11-30 14:04:24","2019-11-30 14:04:24"
3,"会津線","odpt.Railway:Aizu.Aizu","2019-11-30 14:04:24","2019-11-30 14:04:24"
4,"みなとみらい線","odpt.Railway:Minatomirai.Minatomirai","2019-11-30 14:04:24","2019-11-30 14:04:24"
5,"箱根登山線","odpt.Railway:HakoneTozan.HakoneTozan","2019-11-30 14:04:24","2019-11-30 14:04:24"
6,"秩父本線","odpt.Railway:Chichibu.Chichibu","2019-11-30 14:04:24","2019-11-30 14:04:24"
7,"富士急行線","odpt.Railway:Fujikyu.Fujikyu","2019-11-30 14:04:24","2019-11-30 14:04:24"
8,"芝山鉄道線","odpt.Railway:Shibayama.Shibayama","2019-11-30 14:04:24","2019-11-30 14:04:24"
9,"つくばエクスプレス","odpt.Railway:MIR.TsukubaExpress","2019-11-30 14:04:24","2019-11-30 14:04:24"
10,"新京成線","odpt.Railway:ShinKeisei.ShinKeisei","2019-11-30 14:04:24","2019-11-30 14:04:24"
11,"羽田空港線","odpt.Railway:TokyoMonorail.HanedaAirport","2019-11-30 14:04:24","2019-11-30 14:04:24"
12,"会津鬼怒川線","odpt.Railway:Yagan.AizuKinugawa","2019-11-30 14:04:24","2019-11-30 14:04:24"
13,"伊豆急行線","odpt.Railway:Izukyu.Izukyu","2019-11-30 14:04:24","2019-11-30 14:04:24"
14,"御殿場線","odpt.Railway:JR-Central.Gotemba","2019-11-30 14:04:24","2019-11-30 14:04:24"
15,"大洗鹿島線","odpt.Railway:KashimaRinkai.OaraiKashima","2019-11-30 14:04:24","2019-11-30 14:04:24"
16,"駿豆線","odpt.Railway:IzuHakone.Sunzu","2019-11-30 14:04:24","2019-11-30 14:04:24"
17,"山陰本線","odpt.Railway:JR-West.Sanin","2019-11-30 14:04:24","2019-11-30 14:04:24"
18,"瀬戸大橋線","odpt.Railway:JR-Shikoku.SetoOhashi","2019-11-30 14:04:24","2019-11-30 14:04:24"
19,"土讃線","odpt.Railway:JR-Shikoku.Dosan","2019-11-30 14:04:24","2019-11-30 14:04:24"
20,"北総線","odpt.Railway:Hokuso.Hokuso","2019-11-30 14:04:24","2019-11-30 14:04:24"
21,"ほくほく線","odpt.Railway:Hokuetsu.Hokuhoku","2019-11-30 14:04:24","2019-11-30 14:04:24"
22,"成田スカイアクセス線","odpt.Railway:Keisei.NaritaSkyAccess","2019-11-30 14:04:24","2019-11-30 14:04:24"
23,"千葉線","odpt.Railway:Keisei.Chiba","2019-11-30 14:04:24","2019-11-30 14:04:24"
24,"千原線","odpt.Railway:Keisei.Chihara","2019-11-30 14:04:24","2019-11-30 14:04:24"
25,"東成田線","odpt.Railway:Keisei.HigashiNarita","2019-11-30 14:04:24","2019-11-30 14:04:24"
26,"吾妻線","odpt.Railway:JR-East.Agatsuma","2019-11-30 14:04:24","2019-11-30 14:04:24"
27,"金町線","odpt.Railway:Keisei.Kanamachi","2019-11-30 14:04:24","2019-11-30 14:04:24"
28,"京成本線","odpt.Railway:Keisei.Main","2019-11-30 14:04:24","2019-11-30 14:04:24"
29,"押上線","odpt.Railway:Keisei.Oshiage","2019-11-30 14:04:24","2019-11-30 14:04:24"
30,"拝島線","odpt.Railway:Seibu.Haijima","2019-11-30 14:04:24","2019-11-30 14:04:24"
31,"池袋線","odpt.Railway:Seibu.Ikebukuro","2019-11-30 14:04:24","2019-11-30 14:04:24"
32,"国分寺線","odpt.Railway:Seibu.Kokubunji","2019-11-30 14:04:25","2019-11-30 14:04:25"
33,"東京さくらトラム（都電荒川線）","odpt.Railway:Toei.Arakawa","2019-11-30 14:04:25","2019-11-30 14:04:25"
34,"狭山線","odpt.Railway:Seibu.Sayama","2019-11-30 14:04:25","2019-11-30 14:04:25"
35,"東海道線","odpt.Railway:JR-Central.Tokaido","2019-11-30 14:04:25","2019-11-30 14:04:25"
36,"西武秩父線","odpt.Railway:Seibu.SeibuChichibu","2019-11-30 14:04:25","2019-11-30 14:04:25"
37,"西武有楽町線","odpt.Railway:Seibu.SeibuYurakucho","2019-11-30 14:04:25","2019-11-30 14:04:25"
38,"西武園線","odpt.Railway:Seibu.Seibuen","2019-11-30 14:04:25","2019-11-30 14:04:25"
39,"浅草線","odpt.Railway:Toei.Asakusa","2019-11-30 14:04:25","2019-11-30 14:04:25"
40,"新宿線","odpt.Railway:Seibu.Shinjuku","2019-11-30 14:04:25","2019-11-30 14:04:25"
41,"多摩川線","odpt.Railway:Seibu.Tamagawa","2019-11-30 14:04:25","2019-11-30 14:04:25"
42,"多摩湖線","odpt.Railway:Seibu.Tamako","2019-11-30 14:04:25","2019-11-30 14:04:25"
43,"豊島線","odpt.Railway:Seibu.Toshima","2019-11-30 14:04:25","2019-11-30 14:04:25"
44,"山口線","odpt.Railway:Seibu.Yamaguchi","2019-11-30 14:04:25","2019-11-30 14:04:25"
45,"三田線","odpt.Railway:Toei.Mita","2019-11-30 14:04:25","2019-11-30 14:04:25"
46,"日暮里・舎人ライナー","odpt.Railway:Toei.NipporiToneri","2019-11-30 14:04:25","2019-11-30 14:04:25"
47,"大江戸線","odpt.Railway:Toei.Oedo","2019-11-30 14:04:25","2019-11-30 14:04:25"
48,"新宿線","odpt.Railway:Toei.Shinjuku","2019-11-30 14:04:25","2019-11-30 14:04:25"
49,"秋田新幹線","odpt.Railway:JR-East.AkitaShinkansen","2019-11-30 14:04:25","2019-11-30 14:04:25"
50,"動物園線","odpt.Railway:Keio.Dobutsuen","2019-11-30 14:04:25","2019-11-30 14:04:25"
51,"井の頭線","odpt.Railway:Keio.Inokashira","2019-11-30 14:04:25","2019-11-30 14:04:25"
52,"左沢線","odpt.Railway:JR-East.Aterazawa","2019-11-30 14:04:25","2019-11-30 14:04:25"
53,"競馬場線","odpt.Railway:Keio.Keibajo","2019-11-30 14:04:25","2019-11-30 14:04:25"
