id,"name",lat,lng,"created_at","updated_at"
872,"取手",35.89545,140.06284,"2019-11-30 14:05:39","2019-11-30 14:05:39"
873,"三河島",35.73323,139.77676,"2019-11-30 14:05:39","2019-11-30 14:05:39"
874,"品川",35.6288,139.73871,"2019-11-30 14:05:39","2019-11-30 14:05:39"
875,"赤塚",36.38179,140.41529,"2019-11-30 14:05:40","2019-11-30 14:05:40"
876,"荒川沖",36.03071,140.16588,"2019-11-30 14:05:40","2019-11-30 14:05:40"
877,"藤代",35.92059,140.11819,"2019-11-30 14:05:40","2019-11-30 14:05:40"
878,"双葉",37.45388,141.00583,"2019-11-30 14:05:40","2019-11-30 14:05:40"
879,"浜吉田",38.00217,140.8899,"2019-11-30 14:05:40","2019-11-30 14:05:40"
880,"原ノ町",37.63805,140.97102,"2019-11-30 14:05:40","2019-11-30 14:05:40"
881,"羽鳥",36.24763,140.2867,"2019-11-30 14:05:40","2019-11-30 14:05:40"
882,"広野",37.21143,140.99854,"2019-11-30 14:05:40","2019-11-30 14:05:40"
883,"久ノ浜",37.14255,140.99549,"2019-11-30 14:05:40","2019-11-30 14:05:40"
884,"常陸多賀",36.55205,140.63249,"2019-11-30 14:05:40","2019-11-30 14:05:40"
885,"ひたち野うしく",36.00738,140.15839,"2019-11-30 14:05:40","2019-11-30 14:05:40"
886,"日立",36.59038,140.66165,"2019-11-30 14:05:40","2019-11-30 14:05:40"
887,"石岡",36.19153,140.27948,"2019-11-30 14:05:40","2019-11-30 14:05:40"
888,"磯原",36.79036,140.74608,"2019-11-30 14:05:40","2019-11-30 14:05:40"
889,"磐城太田",37.605,140.99158,"2019-11-30 14:05:40","2019-11-30 14:05:40"
890,"いわき",37.05811,140.89217,"2019-11-30 14:05:40","2019-11-30 14:05:40"
891,"岩間",36.29541,140.27614,"2019-11-30 14:05:40","2019-11-30 14:05:40"
892,"岩沼",38.11188,140.86351,"2019-11-30 14:05:41","2019-11-30 14:05:41"
893,"泉",36.95563,140.85412,"2019-11-30 14:05:41","2019-11-30 14:05:41"
894,"十王",36.67121,140.68581,"2019-11-30 14:05:41","2019-11-30 14:05:41"
895,"偕楽園",36.3729,140.45612,"2019-11-30 14:05:41","2019-11-30 14:05:41"
896,"神立",36.12043,140.24837,"2019-11-30 14:05:41","2019-11-30 14:05:41"
897,"鹿島",37.70277,140.96991,"2019-11-30 14:05:41","2019-11-30 14:05:41"
898,"勝田",36.39401,140.52389,"2019-11-30 14:05:41","2019-11-30 14:05:41"
899,"木戸",37.25754,141.00243,"2019-11-30 14:05:41","2019-11-30 14:05:41"
900,"駒ケ嶺",37.84247,140.92491,"2019-11-30 14:05:41","2019-11-30 14:05:41"
901,"草野",37.07367,140.94688,"2019-11-30 14:05:41","2019-11-30 14:05:41"
902,"南中郷",36.75342,140.72886,"2019-11-30 14:05:41","2019-11-30 14:05:41"
903,"南仙台",38.19715,140.88323,"2019-11-30 14:05:41","2019-11-30 14:05:41"
904,"水戸",36.37068,140.47612,"2019-11-30 14:05:41","2019-11-30 14:05:41"
905,"桃内",37.52862,140.98408,"2019-11-30 14:05:41","2019-11-30 14:05:41"
906,"長町",38.22687,140.886,"2019-11-30 14:05:41","2019-11-30 14:05:41"
907,"勿来",36.88369,140.78635,"2019-11-30 14:05:41","2019-11-30 14:05:41"
908,"浪江",37.49223,140.98964,"2019-11-30 14:05:41","2019-11-30 14:05:41"
909,"名取",38.17299,140.88267,"2019-11-30 14:05:41","2019-11-30 14:05:41"
910,"日立木",37.75581,140.93463,"2019-11-30 14:05:41","2019-11-30 14:05:41"
911,"小高",37.56278,140.99602,"2019-11-30 14:05:41","2019-11-30 14:05:41"
912,"小木津",36.63677,140.67526,"2019-11-30 14:05:41","2019-11-30 14:05:41"
913,"逢隈",38.06772,140.85462,"2019-11-30 14:05:41","2019-11-30 14:05:41"
914,"大甕",36.51289,140.61916,"2019-11-30 14:05:41","2019-11-30 14:05:41"
915,"大野",37.40919,140.98409,"2019-11-30 14:05:41","2019-11-30 14:05:41"
916,"大津港",36.84591,140.77774,"2019-11-30 14:05:41","2019-11-30 14:05:41"
917,"坂元",37.924361,140.901083,"2019-11-30 14:05:41","2019-11-30 14:05:41"
918,"佐貫",35.92961,140.13784,"2019-11-30 14:05:41","2019-11-30 14:05:41"
919,"佐和",36.4304,140.54028,"2019-11-30 14:05:41","2019-11-30 14:05:41"
920,"仙台",38.25992,140.88239,"2019-11-30 14:05:41","2019-11-30 14:05:41"
921,"新地",37.879222,140.925667,"2019-11-30 14:05:41","2019-11-30 14:05:41"
922,"相馬",37.80259,140.92569,"2019-11-30 14:05:41","2019-11-30 14:05:41"
923,"末続",37.17227,140.99576,"2019-11-30 14:05:41","2019-11-30 14:05:41"
924,"太子堂",38.2177,140.88323,"2019-11-30 14:05:41","2019-11-30 14:05:41"
925,"高萩",36.71461,140.71701,"2019-11-30 14:05:41","2019-11-30 14:05:41"
926,"高浜",36.16348,140.2942,"2019-11-30 14:05:41","2019-11-30 14:05:41"
927,"館腰",38.14311,140.88022,"2019-11-30 14:05:41","2019-11-30 14:05:41"
928,"竜田",37.28226,141.0027,"2019-11-30 14:05:41","2019-11-30 14:05:41"
929,"東海",36.4654,140.56583,"2019-11-30 14:05:41","2019-11-30 14:05:41"
